stimulus,trials_id,acc,correct_response,decision,rt,decision_2,rt_type2,stim,response,rating
../data/img/sub_test/circle/circle43-0.65_5.png,253,0,No_info,好人,952,正确,1282,0,1,2
../data/img/sub_test/triangle/triangle9-0.65_2.png,254,1,Good,好人,1059,正确,1237,1,1,2
../data/img/sub_test/triangle/triangle65-0.65_5.png,255,0,Good,常人,1165,错误,1158,1,0,1
../data/img/sub_test/triangle/triangle99-0.65_1.png,256,1,Good,好人,1103,正确,1068,1,1,2
../data/img/sub_test/triangle/triangle17-0.65_1.png,257,1,Good,好人,1244,正确,1089,1,1,2
../data/img/sub_test/square/square42-0.65_1.png,258,1,Bad,坏人,1239,正确,1090,0,0,2
../data/img/sub_test/circle/circle3-0.65_4.png,259,1,No_info,常人,1288,正确,1101,0,0,2
../data/img/sub_test/circle/circle18-0.65_5.png,260,0,No_info,好人,907,错误,1065,0,1,1
../data/img/sub_test/triangle/triangle0-0.65_5.png,261,1,Good,好人,1156,错误,1337,1,1,1
../data/img/sub_test/square/square49-0.65_3.png,262,1,Bad,坏人,1251,正确,934,0,0,2
../data/img/sub_test/circle/circle82-0.65_3.png,264,0,No_info,坏人,898,正确,936,0,0,2
../data/img/sub_test/triangle/triangle14-0.65_1.png,265,1,Good,好人,948,正确,987,1,1,2
../data/img/sub_test/triangle/triangle30-0.65_1.png,266,1,Good,好人,1465,正确,1116,1,1,2
../data/img/sub_test/triangle/triangle18-0.65_2.png,267,1,Good,好人,1135,正确,887,1,1,2
../data/img/sub_test/square/square30-0.65_1.png,269,0,Bad,好人,1019,正确,1088,0,1,2
../data/img/sub_test/triangle/triangle72-0.65_3.png,271,1,Good,好人,793,正确,945,1,1,2
../data/img/sub_test/square/square92-0.65_5.png,272,1,Bad,坏人,1212,正确,914,0,0,2
../data/img/sub_test/circle/circle45-0.65_1.png,273,0,No_info,坏人,1319,正确,1171,0,0,2
../data/img/sub_test/square/square73-0.65_3.png,274,0,Bad,常人,1182,正确,1303,0,0,2
../data/img/sub_test/square/square44-0.65_5.png,275,0,Bad,常人,1470,正确,1304,0,0,2
../data/img/sub_test/triangle/triangle4-0.65_2.png,276,1,Good,好人,1344,正确,764,1,1,2
../data/img/sub_test/circle/circle83-0.65_2.png,277,0,No_info,坏人,994,错误,1191,0,0,1
