"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","exp_type","correct_response","acc","decision","record_acc","decision_2"
"","","","","","html-keyboard-response","771","1106100","0.0-0.0-9.0-3.33","863","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","772","1106603","0.0-0.0-9.0-0.34","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","773","1106813","0.0-0.0-9.0-1.34","null","../data/img/test/square/square84_2.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","774","1108333","0.0-0.0-9.0-2.34","1520","<p> </p>","k","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","775","1109282","0.0-0.0-9.0-3.34","947","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","776","1109789","0.0-0.0-9.0-0.35","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","777","1109996","0.0-0.0-9.0-1.35","null","../data/img/test/square/square50_1.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","778","1111492","0.0-0.0-9.0-2.35","1495","<p> </p>","j","","Bad","0","好人","yes",""
"","","","","","html-keyboard-response","779","1113041","0.0-0.0-9.0-3.35","1549","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","780","1113551","0.0-0.0-9.0-0.36","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","781","1113756","0.0-0.0-9.0-1.36","null","../data/img/test/square/square31_1.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","782","1115558","0.0-0.0-9.0-2.36","1801","<p> </p>","l","","Bad","0","无信息","yes",""
"","","","","","html-keyboard-response","783","1116443","0.0-0.0-9.0-3.36","885","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","784","1116951","0.0-0.0-9.0-0.37","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","785","1117159","0.0-0.0-9.0-1.37","null","../data/img/test/square/square82_1.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","786","1118589","0.0-0.0-9.0-2.37","1430","<p> </p>","j","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","787","1119596","0.0-0.0-9.0-3.37","1006","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","788","1120103","0.0-0.0-9.0-0.38","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","789","1120307","0.0-0.0-9.0-1.38","null","../data/img/test/circle/circle49_3.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","790","1121628","0.0-0.0-9.0-2.38","1320","<p> </p>","j","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","791","1123074","0.0-0.0-9.0-3.38","1445","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","792","1123582","0.0-0.0-9.0-0.39","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","793","1123789","0.0-0.0-9.0-1.39","null","../data/img/test/circle/circle87_1.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","794","1125632","0.0-0.0-9.0-2.39","1842","<p> </p>","l","","No_info","0","好人","yes",""
"","","","","","html-keyboard-response","795","1126656","0.0-0.0-9.0-3.39","1024","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","错误"
"","","","","","html-keyboard-response","796","1127167","0.0-0.0-9.0-0.40","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","797","1127372","0.0-0.0-9.0-1.40","null","../data/img/test/circle/circle82_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","798","1128730","0.0-0.0-9.0-2.40","1356","<p> </p>","j","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","799","1129521","0.0-0.0-9.0-3.40","791","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","800","1130031","0.0-0.0-9.0-0.41","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","801","1130239","0.0-0.0-9.0-1.41","null","../data/img/test/triangle/triangle68_2.png","null","","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","802","1131875","0.0-0.0-9.0-2.41","1636","<p> </p>","l","","Good","1","好人","yes",""
"","","","","","html-keyboard-response","803","1133376","0.0-0.0-9.0-3.41","1500","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","804","1133886","0.0-0.0-9.0-0.42","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","805","1134093","0.0-0.0-9.0-1.42","null","../data/img/test/triangle/triangle53_3.png","null","","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","806","1135420","0.0-0.0-9.0-2.42","1326","<p> </p>","k","","Good","0","坏人","yes",""
"","","","","","html-keyboard-response","807","1136301","0.0-0.0-9.0-3.42","880","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","808","1136812","0.0-0.0-9.0-0.43","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","809","1137021","0.0-0.0-9.0-1.43","null","../data/img/test/triangle/triangle67_3.png","null","","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","810","1138319","0.0-0.0-9.0-2.43","1297","<p> </p>","j","","Good","1","好人","yes",""
"","","","","","html-keyboard-response","811","1139782","0.0-0.0-9.0-3.43","1463","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","错误"
"","","","","","html-keyboard-response","812","1140295","0.0-0.0-9.0-0.44","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","813","1140503","0.0-0.0-9.0-1.44","null","../data/img/test/square/square42_3.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","814","1142137","0.0-0.0-9.0-2.44","1634","<p> </p>","j","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","815","1143358","0.0-0.0-9.0-3.44","1220","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","816","1143869","0.0-0.0-9.0-0.45","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","817","1144079","0.0-0.0-9.0-1.45","null","../data/img/test/circle/circle12_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","818","1145657","0.0-0.0-9.0-2.45","1577","<p> </p>","k","","No_info","0","坏人","yes",""
"","","","","","html-keyboard-response","819","1146755","0.0-0.0-9.0-3.45","1097","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","820","1147261","0.0-0.0-9.0-0.46","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","821","1147471","0.0-0.0-9.0-1.46","null","../data/img/test/circle/circle36_4.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","822","1149301","0.0-0.0-9.0-2.46","1829","<p> </p>","l","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","823","1150451","0.0-0.0-9.0-3.46","1149","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","824","1150955","0.0-0.0-9.0-0.47","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","825","1151166","0.0-0.0-9.0-1.47","null","../data/img/test/triangle/triangle86_3.png","null","","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","826","1153170","0.0-0.0-9.0-2.47","2003","<p> </p>","l","","Good","1","好人","yes",""
"","","","","","html-keyboard-response","827","1154579","0.0-0.0-9.0-3.47","1408","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","828","1155086","0.0-0.0-9.0-0.48","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","829","1155294","0.0-0.0-9.0-1.48","null","../data/img/test/square/square11_1.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","830","1157302","0.0-0.0-9.0-2.48","null","<p> </p>","null","","Bad","0","","yes",""
"","","","","","html-keyboard-response","831","1158927","0.0-0.0-9.0-3.48","1624","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","832","1159438","0.0-0.0-9.0-0.49","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","833","1159645","0.0-0.0-9.0-1.49","null","../data/img/test/circle/circle42_4.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","834","1160778","0.0-0.0-9.0-2.49","1132","<p> </p>","l","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","835","1162366","0.0-0.0-9.0-3.49","1587","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","836","1162874","0.0-0.0-9.0-0.50","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
